focus_session_length_minutes,break_frequency_per_hour,after_hours_activity_minutes,communication_sentiment_score,department,wellness_label
26.9,0.2,69.1,0.339,product,Burnout
52.3,1.0,13.5,0.853,hr,Healthy
27.6,0.27,93.2,0.253,sales,Burnout
34.8,0.58,37.2,0.558,hr,Stressed
47.8,1.33,28.9,0.671,product,Healthy
14.2,0.89,36.0,0.657,marketing,Stressed
45.7,1.57,17.2,0.714,marketing,Healthy
14.6,0.24,49.8,0.222,sales,Burnout
51.4,1.44,9.5,0.875,marketing,Healthy
16.7,0.2,87.4,0.604,engineering,Stressed
32.8,0.76,80.1,0.799,product,Stressed
7.9,0.56,68.5,0.566,hr,Stressed
37.2,0.04,64.5,0.396,hr,Stressed
60.6,1.14,9.2,0.908,hr,Healthy
35.1,0.82,63.8,0.5,marketing,Stressed
33.0,0.41,60.4,0.76,marketing,Stressed
27.9,0.03,134.3,0.347,hr,Burnout
6.6,0.14,117.3,0.287,product,Burnout
39.1,0.34,74.8,0.516,engineering,Stressed
22.5,0.1,122.0,0.359,engineering,Burnout
42.8,0.66,64.1,0.598,marketing,Stressed
65.5,0.4,18.1,1.0,engineering,Healthy
34.4,0.17,161.6,0.241,product,Burnout
36.0,0.54,28.0,0.524,hr,Stressed
11.4,0.18,78.3,0.291,marketing,Burnout
34.5,0.31,85.5,0.366,product,Stressed
17.9,0.09,56.5,0.19,product,Burnout
46.0,1.39,0.3,0.844,marketing,Healthy
33.5,0.71,67.4,0.673,product,Stressed
66.3,0.95,89.7,0.492,marketing,Stressed
34.4,0.76,38.7,0.388,engineering,Stressed
24.6,0.1,60.6,0.37,sales,Burnout
43.4,1.23,11.1,0.812,hr,Healthy
24.4,0.45,104.4,0.47,marketing,Stressed
4.6,0.61,70.6,0.515,hr,Stressed
38.3,1.11,16.4,0.804,engineering,Healthy
62.3,1.46,14.7,0.84,product,Healthy
60.7,0.78,63.2,0.386,hr,Stressed
2.5,0.47,61.7,0.606,marketing,Stressed
44.3,0.51,51.7,0.653,hr,Stressed
44.9,1.03,36.4,0.594,hr,Healthy
36.2,1.18,16.6,0.97,hr,Healthy
29.7,0.27,72.1,0.306,marketing,Burnout
44.2,1.33,9.3,0.844,product,Healthy
43.0,0.76,18.5,0.792,sales,Healthy
31.2,0.64,85.1,0.494,sales,Stressed
29.4,0.25,43.8,0.526,engineering,Stressed
20.5,0.04,81.8,0.179,engineering,Burnout
27.1,0.55,38.5,0.209,marketing,Stressed
25.5,0.37,105.1,0.525,sales,Stressed
47.2,0.81,30.0,0.703,sales,Healthy
48.2,0.55,19.2,0.453,product,Stressed
30.0,0.41,45.4,0.319,hr,Stressed
34.2,0.48,67.1,0.643,marketing,Stressed
30.4,0.37,60.6,0.5,engineering,Stressed
41.1,1.28,6.8,0.887,sales,Healthy
28.3,0.29,142.4,0.37,engineering,Burnout
26.6,0.62,82.2,0.32,product,Stressed
16.2,0.26,67.2,0.327,hr,Stressed
41.2,0.73,57.8,0.409,hr,Stressed
66.9,0.64,23.5,0.748,engineering,Healthy
13.7,0.19,126.8,0.339,hr,Burnout
28.7,0.6,43.9,0.572,engineering,Stressed
15.8,0.37,87.4,0.254,product,Burnout
20.5,0.24,56.3,0.204,marketing,Burnout
52.0,1.2,29.7,0.822,engineering,Healthy
14.6,0.16,66.6,0.317,product,Burnout
73.7,1.29,38.6,0.908,engineering,Healthy
19.1,0.62,62.6,0.376,hr,Stressed
18.9,0.18,98.7,0.312,hr,Burnout
42.6,1.26,4.4,0.89,marketing,Healthy
15.6,0.17,93.6,0.288,sales,Burnout
56.8,1.15,25.5,0.755,hr,Healthy
15.0,0.33,78.2,0.148,hr,Burnout
42.0,0.9,11.6,0.919,product,Healthy
46.0,1.18,0,0.754,product,Healthy
7.0,0.3,130.6,0.189,engineering,Burnout
10.5,0.02,98.7,0.2,marketing,Burnout
39.8,1.35,16.5,0.8,marketing,Healthy
54.5,1.84,10.9,0.932,sales,Healthy
29.9,0.15,106.8,0.286,product,Burnout
44.4,0.39,29.7,0.388,product,Stressed
9.3,0.6,58.2,0.48,product,Stressed
22.1,0.21,52.9,0.22,marketing,Burnout
49.0,0.36,109.6,0.32,hr,Stressed
63.2,1.23,21.1,0.925,hr,Healthy
30.8,0.25,30.9,0.37,engineering,Burnout
16.4,0.14,92.2,0.543,engineering,Burnout
67.2,1.08,23.5,0.847,product,Healthy
27.9,0.1,119.3,0.267,hr,Burnout
35.7,0.63,62.1,0.48,product,Stressed
14.4,0.34,60.2,0.107,product,Burnout
50.4,0.44,39.9,0.595,marketing,Stressed
44.8,1.23,8.9,0.641,product,Healthy
43.8,0.59,36.5,0.605,product,Stressed
63.0,1.4,21.5,0.767,sales,Healthy
53.4,1.45,0.5,0.692,sales,Healthy
17.3,0.25,150.8,0.415,marketing,Burnout
43.0,1.62,40.1,0.778,sales,Healthy
45.8,0.75,56.1,0.466,marketing,Stressed
12.8,0.18,76.3,0.179,sales,Burnout
48.6,0.51,40.4,0.571,hr,Stressed
14.6,0.12,123.4,0.267,hr,Burnout
55.1,1.04,2.4,0.807,engineering,Healthy
54.5,1.43,8.2,0.705,engineering,Healthy
41.9,0.6,12.8,0.348,hr,Stressed
41.6,0.73,87.1,0.456,sales,Stressed
60.5,0.93,16.6,0.671,sales,Healthy
9.2,0.61,67.3,0.592,marketing,Stressed
46.9,0.43,125.5,0.361,marketing,Stressed
13.8,0.11,23.4,0.221,marketing,Burnout
31.6,0.88,5.6,0.738,marketing,Healthy
46.1,1.14,13.2,0.753,sales,Healthy
26.8,0.17,96.2,0.2,product,Burnout
19.3,0.26,43.1,0.447,product,Stressed
19.2,0.16,22.0,0.388,product,Burnout
24.1,0.41,131.4,0.736,marketing,Stressed
43.9,1.09,23.2,0.999,hr,Healthy
15.3,0.48,42.9,0.504,hr,Stressed
0,0.33,89.4,0.376,engineering,Stressed
33.3,0.73,63.0,0.562,sales,Stressed
17.1,0.68,99.7,0.564,engineering,Stressed
76.8,1.35,23.3,0.79,engineering,Healthy
49.3,0.78,7.9,0.706,engineering,Healthy
25.8,0.42,122.3,0.141,product,Burnout
45.2,0.77,14.4,0.731,marketing,Healthy
39.4,1.63,16.0,0.765,marketing,Healthy
39.7,0.86,3.5,0.723,marketing,Healthy
43.3,0.77,0.8,0.759,marketing,Healthy
14.5,0.38,68.2,0.189,hr,Burnout
24.4,0.36,78.6,0.403,sales,Stressed
49.9,1.69,0,0.838,sales,Healthy
50.4,1.41,22.8,0.556,marketing,Healthy
22.5,0.25,123.4,0.369,product,Burnout
32.3,0.61,12.6,0.669,marketing,Stressed
35.5,0,71.7,0.37,hr,Burnout
42.8,1.53,31.4,0.833,engineering,Healthy
31.6,0.21,69.9,0.402,engineering,Stressed
72.3,1.41,29.2,0.941,marketing,Healthy
46.1,0.5,65.3,0.545,sales,Stressed
58.4,0.79,15.3,0.758,engineering,Healthy
22.4,0.21,75.2,0.31,sales,Burnout
27.8,0.09,63.4,0.373,sales,Burnout
17.6,0.1,60.5,0.149,hr,Burnout
9.6,0.28,84.0,0.624,hr,Stressed
42.2,0.39,81.3,0.316,engineering,Stressed
22.1,0.2,135.6,0.374,sales,Burnout
45.5,1.01,16.5,0.786,sales,Healthy
28.2,0.42,66.5,0.361,product,Stressed
19.6,0,64.9,0.224,engineering,Burnout
27.5,0.19,81.4,0.275,product,Burnout
24.5,0.29,33.9,0.423,engineering,Burnout
62.7,0.82,13.7,0.851,marketing,Healthy
12.3,0,0,0.285,sales,Burnout
27.8,0.51,47.9,0.251,sales,Stressed
24.2,0.23,162.1,0.346,engineering,Burnout
26.2,0.24,135.6,0.111,engineering,Burnout
43.0,1.36,1.5,0.717,engineering,Healthy
60.5,1.13,11.5,0.732,product,Healthy
63.9,1.09,21.4,0.668,product,Healthy
21.8,0.22,77.5,0.306,engineering,Burnout
38.3,0.35,41.5,0.551,product,Stressed
50.7,0.18,79.8,0.533,hr,Stressed
27.6,0.24,83.2,0.234,hr,Burnout
60.5,1.04,4.9,0.793,engineering,Healthy
45.8,1.25,12.1,0.872,hr,Healthy
39.6,1.36,19.0,0.611,hr,Healthy
53.5,0.92,12.6,0.811,sales,Healthy
22.9,0.21,60.5,0.297,engineering,Burnout
20.6,0.25,59.6,0.359,marketing,Burnout
10.6,0.18,152.5,0.213,product,Burnout
58.1,1.21,23.4,0.74,product,Healthy
34.5,0.2,49.8,0.313,hr,Burnout
43.2,1.27,28.7,0.651,engineering,Healthy
25.7,0,63.2,0.144,marketing,Burnout
13.6,0.18,73.1,0.229,engineering,Stressed
64.5,0.44,43.3,0.449,sales,Stressed
26.2,0.21,77.6,0.249,marketing,Burnout
54.5,0.84,23.8,0.831,marketing,Healthy
18.0,0.48,32.1,0.429,sales,Stressed
29.2,1.06,10.1,0.865,engineering,Healthy
26.2,0.37,45.8,0.336,hr,Burnout
44.9,1.38,23.6,0.824,product,Healthy
16.0,0.15,97.4,0.187,marketing,Burnout
19.7,0.17,127.0,0.327,sales,Burnout
45.3,0.29,51.6,0.62,engineering,Stressed
64.5,0.31,109.6,0.535,engineering,Stressed
50.3,0.75,50.6,0.609,marketing,Stressed
49.0,0.71,35.6,0.505,marketing,Stressed
20.7,0.35,66.5,0.217,marketing,Burnout
49.2,1.08,20.9,0.666,marketing,Healthy
22.6,0.22,117.4,0.287,engineering,Burnout
17.8,0.3,64.8,0.26,hr,Burnout
45.0,0.65,72.4,0.435,hr,Stressed
40.6,0.35,55.5,0.599,product,Stressed
30.5,0.78,1.7,0.806,marketing,Stressed
42.3,1.19,31.9,0.724,marketing,Healthy
40.1,0.97,89.6,0.462,engineering,Stressed
45.2,1.63,15.4,0.881,engineering,Healthy
11.9,0.17,89.4,0.472,hr,Burnout
47.4,1.44,27.3,0.606,sales,Healthy
47.5,0.66,68.9,0.717,engineering,Stressed
18.1,0.31,130.9,0.418,product,Burnout
51.8,1.16,16.6,0.833,product,Healthy
37.3,1.27,12.0,0.839,hr,Healthy
61.9,1.26,30.6,0.885,sales,Healthy
38.9,0.65,21.6,0.735,engineering,Healthy
15.4,0.07,71.7,0.255,hr,Burnout
16.8,0.11,113.3,0.335,product,Burnout
65.8,1.3,10.9,0.839,product,Healthy
41.0,0.42,63.9,0.338,sales,Stressed
14.9,0.17,50.7,0.528,marketing,Stressed
12.8,0.24,75.6,0.181,product,Burnout
15.7,0.39,22.5,0.584,sales,Stressed
19.6,0.22,150.8,0.326,sales,Burnout
50.1,1.41,5.5,0.729,product,Healthy
63.9,0.33,5.1,0.846,marketing,Healthy
22.0,0.41,55.7,0.565,hr,Stressed
21.0,0.2,29.2,0.373,hr,Burnout
26.2,0.36,56.2,0.37,marketing,Stressed
20.9,0.17,50.4,0.381,engineering,Burnout
50.7,0.79,26.0,0.642,marketing,Healthy
54.8,1.55,20.3,0.91,hr,Healthy
14.9,0.28,31.1,0.413,marketing,Burnout
16.5,0.4,40.4,0.218,product,Burnout
14.9,0.52,88.3,0.732,engineering,Stressed
39.7,0.51,62.2,0.426,product,Stressed
33.6,0.52,29.6,0.607,hr,Stressed
16.6,0.21,118.0,0.287,hr,Burnout
43.0,0.83,0,0.66,product,Healthy
19.5,0.07,113.2,0.515,product,Burnout
66.2,1.05,16.5,0.722,hr,Healthy
59.2,1.08,2.2,0.799,engineering,Healthy
59.5,1.19,20.1,0.729,hr,Healthy
42.8,0.74,62.5,0.781,product,Stressed
22.5,0.15,59.5,0.31,hr,Burnout
29.5,0.18,152.3,0.242,marketing,Burnout
21.9,0.32,75.7,0.326,hr,Stressed
45.2,1.2,20.2,0.94,product,Healthy
20.9,0.64,85.4,0.273,product,Stressed
11.6,0.29,91.7,0.443,engineering,Burnout
62.8,1.84,19.6,0.904,engineering,Healthy
17.8,0.33,34.7,0.294,product,Burnout
37.7,0.7,5.2,0.676,hr,Healthy
49.5,0.44,72.0,0.645,engineering,Stressed
18.8,0.54,15.9,0.868,sales,Stressed
15.8,0.26,0.7,0.238,engineering,Burnout
38.3,0.4,49.1,0.643,sales,Stressed
34.1,0.21,105.0,0.517,hr,Stressed
11.9,0.52,47.5,0.246,engineering,Stressed
51.3,1.56,0,0.861,marketing,Healthy
48.4,0.6,102.8,0.423,sales,Stressed
37.4,0.67,108.0,0.541,hr,Stressed
58.8,0.49,14.8,0.434,sales,Stressed
14.6,0.1,42.1,0.303,sales,Burnout
41.4,1.12,28.0,0.627,marketing,Healthy
28.3,0.27,43.9,0.275,product,Burnout
22.3,0.18,116.2,0.4,product,Burnout
18.5,0.55,56.9,0.509,product,Stressed
42.9,1.08,2.6,0.897,sales,Healthy
27.0,0.46,48.1,0.691,engineering,Stressed
26.0,1.8,20.4,0.822,engineering,Healthy
10.3,0.19,107.5,0.413,hr,Burnout
14.0,0.28,101.7,0.35,hr,Burnout
10.6,0.1,79.0,0.219,sales,Burnout
31.1,0.07,79.1,0.191,product,Burnout
43.4,0.41,49.6,0.54,hr,Stressed
28.4,0.57,126.5,0.207,marketing,Stressed
39.3,1.08,18.0,0.83,engineering,Healthy
20.5,0.9,52.0,0.544,product,Stressed
26.0,0.44,75.8,0.318,marketing,Burnout
34.8,0.87,33.1,0.461,product,Stressed
12.2,0.61,69.5,0.466,sales,Stressed
21.6,0.25,78.1,0.236,product,Burnout
17.0,0,39.1,0.164,sales,Burnout
26.8,0.14,76.4,0.145,marketing,Burnout
71.7,0.64,11.6,0.909,product,Healthy
54.3,0.63,45.4,0.471,sales,Stressed
52.2,1.14,1.4,0.832,product,Healthy
59.7,1.1,0.5,0.855,marketing,Healthy
2.3,0.35,7.3,0.373,hr,Burnout
25.0,0.8,90.0,0.761,engineering,Stressed
63.4,0.44,74.4,0.59,sales,Stressed
50.4,1.25,22.9,0.659,sales,Healthy
33.3,0.2,46.7,0.384,marketing,Burnout
64.5,0.65,13.8,0.762,hr,Healthy
17.2,0.13,119.7,0.437,product,Burnout
36.2,1.39,17.6,0.825,marketing,Healthy
53.8,1.19,4.4,0.902,product,Healthy
19.7,0.13,58.0,0.158,sales,Burnout
46.1,1.64,16.3,0.941,hr,Healthy
22.5,0.29,145.3,0.332,hr,Burnout
36.6,0.73,33.5,0.755,hr,Healthy
48.8,1.06,17.7,0.826,engineering,Healthy
18.9,0,50.1,0.184,marketing,Burnout
24.8,0.65,50.5,0.427,sales,Stressed
29.3,0.25,40.3,0.256,hr,Burnout
42.9,0.7,51.1,0.421,product,Stressed
11.5,0,143.9,0.264,hr,Burnout
40.7,0.76,50.5,0.636,hr,Stressed
55.1,1.08,17.8,0.872,hr,Healthy
11.3,0.35,53.8,0.177,hr,Burnout
29.0,0.46,83.1,0.097,product,Stressed
17.8,0.19,49.9,0.313,sales,Stressed
36.4,1.56,0,0.834,sales,Healthy
38.8,0.23,36.3,0.735,engineering,Stressed
25.2,0.17,171.8,0.409,engineering,Burnout
39.7,0.61,57.5,0.795,product,Stressed
48.4,0.7,54.3,0.921,hr,Stressed
21.5,0.07,129.7,0.289,hr,Burnout
52.4,0.58,46.6,0.616,engineering,Stressed
12.4,0.18,45.7,0.098,sales,Burnout
32.6,0.68,71.1,0.562,product,Stressed
32.2,0.86,16.0,0.788,product,Stressed
54.6,1.44,14.7,0.789,sales,Healthy
41.6,0.38,62.4,0.785,product,Stressed
46.7,0.19,61.1,0.853,engineering,Stressed
66.6,0.75,20.5,0.857,engineering,Healthy
31.5,1.28,13.5,0.907,engineering,Healthy
23.7,0.31,88.8,0.392,marketing,Burnout
4.6,0.5,49.7,0.269,engineering,Stressed
45.6,1.25,20.7,0.905,product,Healthy
64.1,1.59,18.4,0.78,engineering,Healthy
59.7,1.27,9.2,0.791,marketing,Healthy
47.6,0.59,2.4,0.81,hr,Healthy
33.4,0.48,48.1,0.678,marketing,Stressed
13.2,0.07,48.5,0.372,hr,Burnout
31.5,0.59,52.8,0.584,marketing,Stressed
0,0.64,69.7,0.285,marketing,Stressed
44.4,0.38,83.3,0.583,sales,Stressed
57.5,0.5,40.1,0.518,hr,Stressed
35.1,0.83,18.0,0.726,engineering,Healthy
63.0,1.27,18.5,0.854,hr,Healthy
14.2,0.17,90.3,0.215,marketing,Burnout
37.6,0.65,92.8,0.833,product,Stressed
46.8,1.13,19.7,0.851,product,Healthy
56.8,1.57,13.2,0.803,marketing,Healthy
61.5,0.99,15.5,0.833,sales,Healthy
22.7,0.2,76.8,0.17,engineering,Burnout
65.6,0.55,38.0,0.521,hr,Stressed
29.0,1.14,45.7,0.889,marketing,Healthy
57.4,1.12,19.1,0.814,product,Healthy
27.3,0.25,58.8,0.221,hr,Burnout
59.6,0.82,20.4,0.683,hr,Healthy
47.3,1.4,18.3,0.704,product,Healthy
49.8,1.34,7.4,0.822,engineering,Healthy
43.5,0.74,73.7,0.711,marketing,Stressed
19.1,0.07,46.8,0.387,engineering,Burnout
8.0,0.46,72.9,0.831,engineering,Stressed
20.3,0.28,117.1,0.339,sales,Burnout
44.6,1.19,8.0,0.851,sales,Healthy
72.2,1.41,13.7,0.61,product,Healthy
14.6,0.57,76.3,0.612,sales,Stressed
50.6,1.09,1.9,0.707,product,Healthy
26.8,0.31,129.4,0.168,marketing,Burnout
31.8,0.43,40.1,0.445,engineering,Stressed
55.3,1.25,40.5,0.773,engineering,Healthy
12.6,0.04,129.2,0.249,hr,Burnout
22.5,0.23,98.9,0.137,product,Burnout
36.8,0.59,28.9,0.451,product,Stressed
21.9,0.12,84.1,0.344,marketing,Burnout
7.8,0.21,66.9,0.425,product,Burnout
15.3,0.21,66.9,0.3,hr,Burnout
24.7,0.51,53.3,0.657,hr,Stressed
31.1,0.38,59.5,0.337,product,Stressed
56.4,1.55,31.9,0.843,hr,Healthy
19.3,0.47,56.2,0.622,product,Stressed
33.0,0.71,36.6,0.521,engineering,Stressed
53.6,1.06,28.0,0.608,sales,Healthy
47.1,1.3,17.4,0.91,marketing,Healthy
24.0,0.27,81.7,0.514,engineering,Stressed
12.7,0.2,53.6,0.398,marketing,Burnout
22.0,0.45,82.6,0.491,engineering,Stressed
36.4,0.61,26.1,0.505,engineering,Stressed
39.4,0.58,62.2,0.503,engineering,Stressed
48.9,1.31,12.0,0.859,hr,Healthy
18.9,0.36,47.1,0.431,marketing,Stressed
20.7,0.44,114.9,0.434,product,Burnout
36.1,0.77,71.4,0.48,marketing,Stressed
35.6,0.38,68.8,0.573,sales,Stressed
51.3,0.17,30.0,0.318,sales,Stressed
15.5,0.18,56.2,0.438,hr,Burnout
19.5,0.23,55.1,0.477,product,Stressed
65.8,1.12,3.6,0.761,engineering,Healthy
41.0,0.97,11.0,0.781,product,Healthy
33.0,1.24,22.4,0.779,marketing,Healthy
45.4,0.82,76.0,0.55,sales,Stressed
30.4,0.12,98.8,0.346,hr,Burnout
63.7,1.18,23.9,0.743,sales,Healthy
50.9,1.68,17.0,0.741,marketing,Healthy
51.7,0.42,54.2,0.434,sales,Stressed
26.4,0.38,0,0.133,engineering,Burnout
40.3,1.54,19.4,0.777,marketing,Healthy
46.6,0.49,28.7,0.489,engineering,Stressed
51.0,1.47,25.3,0.741,sales,Healthy
37.9,0.39,95.1,0.656,product,Stressed
46.0,1.38,14.6,0.658,hr,Healthy
18.0,0.16,83.5,0.339,engineering,Burnout
48.5,1.26,16.9,1.0,hr,Healthy
35.4,0.29,73.3,0.544,product,Stressed
34.4,0.65,58.0,0.409,hr,Stressed
45.5,1.26,26.2,0.771,engineering,Healthy
32.9,0.16,27.0,0.18,product,Burnout
42.0,0.52,85.4,0.764,sales,Stressed
32.0,0.77,38.2,0.807,sales,Stressed
30.3,0.71,40.5,0.575,sales,Stressed
58.0,0.79,78.8,0.234,marketing,Stressed
16.0,0.53,30.2,0.368,engineering,Stressed
38.1,1.16,16.9,0.668,engineering,Healthy
46.9,1.32,24.9,0.696,product,Healthy
15.9,0.09,63.8,0.197,hr,Burnout
52.7,1.82,12.4,0.583,product,Healthy
53.0,0.51,75.7,0.627,hr,Stressed
51.6,0.72,87.4,0.361,hr,Stressed
18.6,0.4,33.7,0.255,engineering,Stressed
31.5,0.11,144.5,0.223,marketing,Burnout
39.0,1.39,23.7,0.833,hr,Healthy
17.7,0.14,202.2,0.028,hr,Burnout
33.3,0.23,34.2,0.48,hr,Stressed
30.2,0.24,113.7,0.218,product,Burnout
65.0,0.93,5.8,0.955,sales,Healthy
59.8,1.22,7.0,0.831,sales,Healthy
26.4,0.36,67.6,0.525,marketing,Stressed
51.6,0.33,42.9,0.353,sales,Stressed
51.5,1.79,1.1,0.917,product,Healthy
45.5,0.8,8.3,0.817,sales,Healthy
50.7,1.37,19.6,0.926,engineering,Healthy
21.2,0.29,55.7,0.485,marketing,Stressed
31.9,0.61,76.5,0.545,hr,Stressed
59.0,0.82,1.3,0.858,sales,Healthy
18.0,0.37,97.9,0.269,engineering,Burnout
52.1,0.83,8.3,0.863,engineering,Healthy
28.6,0.18,59.8,0.502,marketing,Burnout
41.1,0.92,7.0,0.813,marketing,Healthy
24.4,0.34,60.1,0.234,product,Burnout
44.2,1.11,21.3,0.685,engineering,Healthy
23.5,0.95,91.3,0.334,engineering,Stressed
41.4,0.57,74.3,0.309,marketing,Stressed
14.1,0.06,133.5,0.365,hr,Burnout
21.8,0.07,46.5,0.279,product,Burnout
35.2,0.48,88.2,0.56,sales,Stressed
6.0,0.44,97.3,0.284,engineering,Burnout
58.8,1.9,37.7,0.908,marketing,Healthy
51.9,0.41,52.8,0.678,hr,Stressed
